lead_id,lead_created_at,first_attempt_at,first_contacted_at,qualified_at,appointment_created_at,appointment_completed_at,won_at,lost_at,source,campaign,project,market,language,sales_rep,contacted,qualified,appointment_scheduled,appointment_completed,won,lost,lost_reason,lead_score,media_spend_allocated
syn-001,2026-01-01T09:00:00+03:00,2026-01-01T09:03:00+03:00,2026-01-01T09:08:00+03:00,2026-01-01T09:30:00+03:00,2026-01-01T10:00:00+03:00,2026-01-03T14:00:00+03:00,2026-01-10T12:00:00+03:00,,meta_ads,meta_tr_a,project_alpha,TR,tr,rep_01,true,true,true,true,true,false,,88,11.40
syn-002,2026-01-01T09:10:00+03:00,2026-01-01T09:22:00+03:00,2026-01-01T09:40:00+03:00,2026-01-01T10:10:00+03:00,2026-01-01T11:00:00+03:00,2026-01-04T15:00:00+03:00,,,meta_ads,meta_tr_a,project_alpha,TR,tr,rep_02,true,true,true,true,false,false,,72,11.40
syn-003,2026-01-01T10:00:00+03:00,2026-01-01T11:10:00+03:00,2026-01-01T12:00:00+03:00,,,,,2026-01-05T12:00:00+03:00,google_ads,search_a,project_alpha,TR,tr,rep_01,true,false,false,false,false,true,budget,42,18.20
syn-004,2026-01-01T10:30:00+03:00,2026-01-02T11:00:00+03:00,,,,,,2026-01-08T16:00:00+03:00,portal,portal_a,project_beta,TR,tr,rep_03,false,false,false,false,false,true,no_response,25,0
syn-005,2026-01-02T08:00:00+03:00,2026-01-02T08:05:00+03:00,2026-01-02T08:07:00+03:00,2026-01-02T08:20:00+03:00,2026-01-02T09:00:00+03:00,2026-01-02T17:00:00+03:00,2026-01-15T10:00:00+03:00,,google_ads,search_b,project_beta,TR,en,rep_02,true,true,true,true,true,false,,91,21.60
syn-006,2026-01-02T08:15:00+03:00,2026-01-02T08:45:00+03:00,2026-01-02T09:10:00+03:00,2026-01-02T10:00:00+03:00,,, ,2026-01-09T13:00:00+03:00,meta_ads,meta_en_a,project_beta,UK,en,rep_04,true,true,false,false,false,true,timing,63,14.10
syn-007,2026-01-02T09:00:00+03:00,2026-01-02T13:00:00+03:00,2026-01-02T14:00:00+03:00,,,,,2026-01-10T09:00:00+03:00,website,organic_form,project_alpha,DE,de,rep_04,true,false,false,false,false,true,project_mismatch,39,0
syn-008,2026-01-03T11:00:00+03:00,2026-01-03T11:04:00+03:00,2026-01-03T11:05:00+03:00,2026-01-03T11:20:00+03:00,2026-01-03T12:00:00+03:00,2026-01-05T10:00:00+03:00,,,meta_ads,meta_tr_b,project_gamma,TR,tr,rep_01,true,true,true,true,false,false,,80,10.80
syn-009,2026-01-03T12:00:00+03:00,2026-01-04T14:00:00+03:00,,,,,,2026-01-11T12:00:00+03:00,meta_ads,meta_tr_b,project_gamma,TR,tr,rep_03,false,false,false,false,false,true,no_response,18,10.80
syn-010,2026-01-04T07:30:00+03:00,2026-01-04T07:38:00+03:00,2026-01-04T07:50:00+03:00,2026-01-04T08:30:00+03:00,2026-01-04T09:00:00+03:00,2026-01-06T13:00:00+03:00,2026-01-20T11:00:00+03:00,,referral,partner_a,project_alpha,TR,tr,rep_02,true,true,true,true,true,false,,95,0
syn-011,2026-01-04T08:00:00+03:00,2026-01-04T08:50:00+03:00,2026-01-04T09:30:00+03:00,2026-01-04T10:20:00+03:00,,, ,2026-01-12T12:00:00+03:00,google_ads,search_a,project_alpha,TR,tr,rep_01,true,true,false,false,false,true,financing,58,19.50
syn-012,2026-01-04T10:00:00+03:00,2026-01-04T10:02:00+03:00,2026-01-04T10:04:00+03:00,2026-01-04T10:15:00+03:00,2026-01-04T10:40:00+03:00,2026-01-05T16:00:00+03:00,,,website,landing_page,project_beta,TR,en,rep_04,true,true,true,true,false,false,,84,0
